110 158.712
120 159.197
130 159.455
140 159.887
150 159.965
160 159.74
170 159.511
180 159.466
190 159.992
200 160.973
210 162.22
220 163.55
230 164.766
240 165.842
250 166.767
260 167.358
270 167.775
280 168.17
290 168.067
300 167.379
310 166.382
320 165.118
330 163.707
340 162.543
350 161.797
360 161.313
370 161.027
380 160.76
390 160.61
400 160.591
410 160.205
420 159.747
430 159.692
440 160.394
450 161.178
460 161.643
470 161.546
480 160.878
490 159.888
500 158.769
510 157.609
520 156.601
530 156.25
540 156.746
550 157.661
560 158.683
570 159.999
580 161.559
590 163.021
600 163.972
610 164.241
620 163.817
630 162.819
640 161.618
650 160.909
660 160.596
670 160.581
680 161.127
690 162.329
700 163.777
710 165.216
720 166.757
730 168.151
740 169.247
750 170.14
760 170.562
770 170.424
780 169.597
790 168.334
800 166.988
810 165.976
820 165.206
830 165.301
840 165.765
850 166.277
860 166.762
870 167.407
880 168.904
890 170.41
