60 0.081010 0.586457
70 0.125888 0.806102
80 0.241727 1.030337
90 0.796253 1.650492
100 1.373319 2.350712
110 1.398808 2.383821
120 1.398810 2.383819
130 1.398807 2.383822
140 1.398810 2.383815
150 1.628667 2.637695
160 1.828057 2.879602
170 1.971794 3.086637
180 1.971794 3.086631
190 1.971792 3.086645
200 1.971791 3.086640
210 1.971792 3.086638
220 1.971791 3.086636
230 1.971791 3.086638
240 2.025767 3.130782
250 2.102993 3.187485
260 2.128117 3.203478
270 2.128438 3.203663
280 2.128435 3.203663
290 2.134919 3.206160
