60 -0.000002 0.000000
70 0.000000 -0.000010
80 0.000007 -0.000012
90 0.000002 0.000006
100 -0.000001 0.000009
110 0.341503 0.209100
120 0.816466 0.616351
130 0.964682 0.800557
140 1.042502 0.890550
150 1.149093 1.003452
160 1.361392 1.208697
170 1.717269 1.521262
180 2.212449 1.914325
190 2.813146 2.347842
200 3.479878 2.804518
210 4.205410 3.319325
220 4.476849 3.527586
230 4.476851 3.527592
240 4.476853 3.527589
250 4.476845 3.527594
260 4.476853 3.527590
270 4.476856 3.527592
280 4.476849 3.527591
290 4.493752 3.553414
