60 1093.74 136.506 1230.25
70 1031.27 167.809 1199.08
80 980.531 193.179 1173.71
90 940.662 211.365 1152.03
100 918.847 222.273 1141.12
110 907.859 226.25 1134.11
120 911.95 225.241 1137.19
130 916.538 222.948 1139.49
140 933.932 220.205 1154.14
150 943.586 215.379 1158.96
160 952.938 210.703 1163.64
170 960.385 206.98 1167.37
180 964.815 204.725 1169.54
190 963.828 205.218 1169.05
200 956.196 208.788 1164.98
210 944.939 214.411 1159.35
220 934.024 219.867 1153.89
230 926.17 222.845 1149.02
240 925.586 222.156 1147.74
250 938.012 218.255 1156.27
260 945.679 214.422 1160.1
270 949.899 211.49 1161.39
280 952.829 210.025 1162.85
290 954.877 210.019 1164.9
