60 0.000369 0.002636
70 0.000368 0.002638
80 0.000365 0.002636
90 0.000367 0.002636
100 0.000366 0.002633
110 0.000368 0.002635
120 0.000365 0.002637
130 0.000365 0.002637
140 0.000550 0.002804
150 0.000565 0.002819
160 0.000566 0.002820
170 0.000566 0.002820
180 0.000566 0.002819
190 0.004103 0.005438
200 0.007967 0.008753
210 0.011401 0.012300
220 0.013095 0.014308
230 0.014110 0.015551
240 0.014927 0.016623
250 0.015566 0.017510
260 0.016039 0.018203
270 0.016357 0.018686
280 0.016527 0.018957
290 0.016564 0.019019
