60 -0.000001 -0.000150
70 0.000125 0.000164
80 -0.000176 -0.000069
90 0.000017 -0.000092
100 0.000027 -0.000200
110 84.647354 55.129452
120 21.349970 27.321194
130 9.646976 11.541874
140 7.648585 8.497169
150 14.951975 15.219235
160 28.139606 26.057171
170 42.940479 35.962051
180 55.512054 41.933125
190 63.881779 44.422142
200 69.351128 47.495461
210 76.188095 56.920689
220 0.000037 0.000032
230 -0.000023 -0.000052
240 -0.000057 0.000009
250 0.000011 0.000073
260 -0.000131 -0.000096
270 -0.000067 -0.000139
280 -0.000038 0.000057
290 4.125202 4.994427
