60 0.800828 1.985292
70 0.850524 1.934147
80 0.894335 1.870204
90 0.931446 1.793936
100 0.962764 1.707438
110 1.001532 1.623593
120 1.028077 1.526635
130 1.042180 1.417374
140 1.043770 1.296731
150 1.032896 1.165622
160 1.009764 1.025148
170 0.974654 0.876372
180 0.984443 0.808795
190 0.993538 0.747908
200 0.993928 0.682199
210 0.989307 0.616253
220 0.987715 0.558570
230 0.978124 0.500317
240 0.960270 0.442346
250 -0.000000 -0.000004
260 0.000000 -0.000001
270 -0.000001 0.000005
280 -0.000000 -0.000001
290 0.000000 0.000003
